, llama7b, , , llama13b, , , llama30b, , , llama65b, , , opt6b, , , opt13b, , , opt30b, , , opt66b, , , Geomean, , , 
Arch, oltron, ant, olaccel, oltron, ant, olaccel, oltron, ant, olaccel, oltron, ant, olaccel, oltron, ant, olaccel, oltron, ant, olaccel, oltron, ant, olaccel, oltron, ant, olaccel, oltron, ant, olaccel, 
Time, 0.2778, 0.2778, 1.0000, 0.2759, 0.2759, 1.0000, 0.2725, 0.2725, 1.0000, 0.2785, 0.2785, 1.0000, 0.2807, 0.2807, 1.0000, 0.2775, 0.2775, 1.0000, 0.2775, 0.2775, 1.0000, 0.2775, 0.2775, 1.0000, 0.2772, 0.2772, 1.0000, 
, llama7b, , , llama13b, , , llama30b, , , llama65b, , , opt6b, , , opt13b, , , opt30b, , , opt66b, , , Geomean, , , 
Arch, oltron, ant, olaccel, oltron, ant, olaccel, oltron, ant, olaccel, oltron, ant, olaccel, oltron, ant, olaccel, oltron, ant, olaccel, oltron, ant, olaccel, oltron, ant, olaccel, oltron, ant, olaccel, 
Static, 0.1604, 0.1604, 0.5774, 0.1599, 0.1599, 0.5797, 0.1582, 0.1582, 0.5807, 0.1699, 0.1699, 0.6102, 0.1633, 0.1633, 0.5818, 0.1619, 0.1619, 0.5834, 0.1619, 0.1619, 0.5836, 0.1695, 0.1695, 0.6108, 0.1631, 0.1631, 0.5884, 
Dram, 0.0447, 0.0447, 0.0993, 0.0545, 0.0545, 0.0992, 0.0536, 0.0536, 0.0987, 0.0574, 0.0574, 0.0588, 0.0468, 0.0468, 0.0936, 0.0550, 0.0550, 0.0934, 0.0547, 0.0547, 0.0931, 0.0570, 0.0570, 0.0587, 0.0530, 0.0530, 0.0869, 
Buffer, 0.1919, 0.1904, 0.2052, 0.1920, 0.1905, 0.2026, 0.1900, 0.1885, 0.2017, 0.2040, 0.2024, 0.2061, 0.1955, 0.1940, 0.2055, 0.1944, 0.1928, 0.2038, 0.1944, 0.1929, 0.2039, 0.2035, 0.2019, 0.2056, 0.1957, 0.1942, 0.2043, 
Core, 0.2586, 0.1167, 0.1181, 0.2578, 0.1163, 0.1186, 0.2551, 0.1151, 0.1188, 0.2740, 0.1236, 0.1248, 0.2633, 0.1188, 0.1190, 0.2610, 0.1178, 0.1194, 0.2611, 0.1178, 0.1194, 0.2732, 0.1233, 0.1250, 0.2630, 0.1187, 0.1204, 

